Country Code,Country Name,Year,Cases,GDP
KHM,Cambodia,2017,226,22177200589.0
KHM,Cambodia,2018,234,24571753582.0
KHM,Cambodia,2019,312,27089390033.0
KHM,Cambodia,2020,176,25872797892.0
KHM,Cambodia,2021,0,26961061152.0
KHM,Cambodia,2022,412,29956769529.0
KWT,Kuwait,2017,4379,121000000000.0
KWT,Kuwait,2018,1931,138000000000.0
KWT,Kuwait,2019,6601,136000000000.0
KWT,Kuwait,2020,193,106000000000.0
LBN,Lebanon,2017,96,53027680686.0
LBN,Lebanon,2018,123,54901519156.0
LBN,Lebanon,2019,262,51605959131.0
LBN,Lebanon,2020,280,31712128254.0
LBN,Lebanon,2021,193,23131941557.0
LKA,Sri Lanka,2017,2361,94376237832.0
LKA,Sri Lanka,2018,947,94493871351.0
LKA,Sri Lanka,2019,1184,89014978319.0
LKA,Sri Lanka,2020,149,84440535699.0
LKA,Sri Lanka,2021,15,88496535599.0
LKA,Sri Lanka,2022,258,74403578363.0
LTU,Lithuania,2017,738,47758736932.0
LTU,Lithuania,2018,1007,53751411409.0
LTU,Lithuania,2019,1737,54760617013.0
LTU,Lithuania,2020,778,56914826861.0
LTU,Lithuania,2021,3,66414994992.0
LTU,Lithuania,2022,2077,70334299008.0
LUX,Luxembourg,2017,166,65712180343.0
LUX,Luxembourg,2018,1038,71000359760.0
LUX,Luxembourg,2019,357,69825641851.0
LUX,Luxembourg,2020,539,73992591285.0
LUX,Luxembourg,2021,4,85506243834.0
LUX,Luxembourg,2022,780,82274812251.0
LVA,Latvia,2017,3121,30483806018.0
LVA,Latvia,2018,2785,34429023435.0
LVA,Latvia,2019,1834,34343961073.0
LVA,Latvia,2020,240,34601740323.0
LVA,Latvia,2021,8,39725383601.0
LVA,Latvia,2022,530,41153912663.0
MAR,Morocco,2017,240,119000000000.0
MAR,Morocco,2018,242,127000000000.0
MAR,Morocco,2019,912,129000000000.0
MAR,Morocco,2020,186,121000000000.0
MAR,Morocco,2021,45,143000000000.0
MAR,Morocco,2022,232,134000000000.0
MDG,Madagascar,2017,368,13176313594.0
MDG,Madagascar,2018,298,13760033283.0
MDG,Madagascar,2019,451,14104664678.0
MDG,Madagascar,2020,43,13051441203.0
MDG,Madagascar,2021,565,14554754115.0
MDG,Madagascar,2022,566,14954967604.0
MDV,Maldives,2017,422,4754185599.0
MDV,Maldives,2018,378,5300949823.0
MDV,Maldives,2019,110,5609385434.0
MDV,Maldives,2020,20,3746329358.0
MDV,Maldives,2021,914,5405557162.0
MDV,Maldives,2022,163,6189865408.0
MEX,Mexico,2017,6346,1160000000000.0
MEX,Mexico,2018,5667,1220000000000.0
MEX,Mexico,2019,6963,1270000000000.0
MEX,Mexico,2020,4799,1090000000000.0
MEX,Mexico,2021,960,1270000000000.0
MEX,Mexico,2022,10314,1410000000000.0
MKD,North Macedonia,2017,25,11307067001.0
MKD,North Macedonia,2018,270,12683068033.0
MKD,North Macedonia,2019,432,12606338449.0
MKD,North Macedonia,2020,239,12363580535.0
MKD,North Macedonia,2021,2,13825049832.0
MLI,Mali,2017,165,15365713059.0
MLI,Mali,2018,144,17070867578.0
MLI,Mali,2019,235,17280250805.0
MLI,Mali,2020,150,17465392779.0
MLI,Mali,2021,14,19309463506.0
MLI,Mali,2022,26,18827176532.0
MLT,Malta,2017,505,13489296992.0
MLT,Malta,2018,880,15298004130.0
MLT,Malta,2019,838,15881258056.0
MLT,Malta,2020,373,15046136935.0
MLT,Malta,2022,367,17765270015.0
MMR,Myanmar,2017,431,61449391917.0
MMR,Myanmar,2018,103,67144726168.0
MMR,Myanmar,2019,806,68697761477.0
MMR,Myanmar,2020,19,78930259069.0
MMR,Myanmar,2021,15,65124769602.0
MMR,Myanmar,2022,14,59364362541.0
MNE,Montenegro,2017,4,4856602179.0
MNE,Montenegro,2018,266,5506944403.0
MNE,Montenegro,2019,508,5542053845.0
MNE,Montenegro,2020,498,4769995512.0
MNE,Montenegro,2021,24,5861430526.0
MNE,Montenegro,2022,185,6095978868.0
MNG,Mongolia,2017,533,11480847740.0
MNG,Mongolia,2018,304,13178094720.0
MNG,Mongolia,2019,909,14206359016.0
MNG,Mongolia,2020,981,13312981427.0
MNG,Mongolia,2021,2,15286441740.0
MNG,Mongolia,2022,372,16810883361.0
MOZ,Mozambique,2017,78,13219079498.0
MOZ,Mozambique,2018,66,14845400593.0
MOZ,Mozambique,2019,91,15390031040.0
MOZ,Mozambique,2020,44,14156864916.0
MOZ,Mozambique,2021,60,15776757420.0
MOZ,Mozambique,2022,422,17851491428.0
MRT,Mauritania,2017,10,6800138755.0
MRT,Mauritania,2018,27,7473550557.0
MRT,Mauritania,2019,51,8066118984.0
MRT,Mauritania,2020,40,8405498736.0
MRT,Mauritania,2021,68,9996240419.0
MRT,Mauritania,2022,26,10375460680.0
MUS,Mauritius,2017,95,13713505998.0
MUS,Mauritius,2018,102,14735695931.0
MUS,Mauritius,2019,406,14436347115.0
MUS,Mauritius,2020,108,11401040996.0
MUS,Mauritius,2022,223,12898307089.0
MYS,Malaysia,2017,662,319000000000.0
MYS,Malaysia,2018,493,359000000000.0
MYS,Malaysia,2019,1175,365000000000.0
MYS,Malaysia,2020,346,337000000000.0
MYS,Malaysia,2021,287,373000000000.0
MYS,Malaysia,2022,5084,406000000000.0
NAM,Namibia,2021,132,12446290855.0
NAM,Namibia,2022,79,12607436976.0
NCL,New Caledonia,2017,204,9173670000.0
NCL,New Caledonia,2018,291,9896402295.0
NCL,New Caledonia,2019,541,9475655342.0
NCL,New Caledonia,2020,16,9454629451.0
NER,Niger,2017,117,11185101444.0
NER,Niger,2018,83,12808661487.0
NER,Niger,2019,144,12916454871.0
NER,Niger,2020,134,13744174582.0
NER,Niger,2021,101,14915002098.0
NER,Niger,2022,120,13969605583.0
NGA,Nigeria,2017,3,376000000000.0
NGA,Nigeria,2018,77,422000000000.0
NGA,Nigeria,2019,89,475000000000.0
NGA,Nigeria,2020,29,432000000000.0
NGA,Nigeria,2021,54,441000000000.0
NGA,Nigeria,2022,23,477000000000.0
NIC,Nicaragua,2017,762,13785890939.0
NIC,Nicaragua,2018,1320,13025266513.0
NIC,Nicaragua,2019,1419,12699028890.0
NIC,Nicaragua,2020,41,12678162359.0
NIC,Nicaragua,2021,4,14145852101.0
NIC,Nicaragua,2022,803,15671583878.0
NOR,Norway,2017,16479,402000000000.0
NOR,Norway,2018,32966,440000000000.0
NOR,Norway,2019,22282,409000000000.0
NOR,Norway,2020,13475,368000000000.0
NOR,Norway,2021,547,490000000000.0
NOR,Norway,2022,22485,579000000000.0
NPL,Nepal,2017,2152,28971588881.0
NPL,Nepal,2018,957,33111525183.0
NPL,Nepal,2019,2569,34186180695.0
NPL,Nepal,2020,692,33433659223.0
NPL,Nepal,2021,1135,36924841430.0
NPL,Nepal,2022,705,40828247302.0
NZL,New Zealand,2017,945,207000000000.0
NZL,New Zealand,2018,475,212000000000.0
NZL,New Zealand,2019,1011,213000000000.0
NZL,New Zealand,2020,0,213000000000.0
OMN,Oman,2017,3024,80856697009.0
OMN,Oman,2018,1388,91505851756.0
OMN,Oman,2019,1376,88060858257.0
OMN,Oman,2020,157,75909397659.0
OMN,Oman,2021,884,88191977373.0
OMN,Oman,2022,1069,115000000000.0
PAK,Pakistan,2017,113,339000000000.0
PAK,Pakistan,2018,688,356000000000.0
PAK,Pakistan,2019,649,321000000000.0
PAK,Pakistan,2020,109,300000000000.0
PAK,Pakistan,2021,602,348000000000.0
PAK,Pakistan,2022,1359,377000000000.0
PAN,Panama,2017,262,62202700000.0
PAN,Panama,2018,202,67294169235.0
PAN,Panama,2019,382,69721787533.0
PAN,Panama,2020,52,57086836942.0
PAN,Panama,2021,0,67406738052.0
PAN,Panama,2022,681,76522511781.0
PER,Peru,2017,241,211000000000.0
PER,Peru,2018,1061,223000000000.0
PER,Peru,2019,349,228000000000.0
PER,Peru,2020,68,202000000000.0
PER,Peru,2021,561,224000000000.0
PER,Peru,2022,2328,243000000000.0
PHL,Philippines,2017,268,328000000000.0
PHL,Philippines,2018,216,347000000000.0
PHL,Philippines,2019,612,377000000000.0
PHL,Philippines,2020,52,362000000000.0
PHL,Philippines,2021,105,394000000000.0
PHL,Philippines,2022,260,404000000000.0
PNG,Papua New Guinea,2017,27,22742696408.0
PNG,Papua New Guinea,2018,24,24109780113.0
PNG,Papua New Guinea,2019,19,24751069238.0
POL,Poland,2017,1543,525000000000.0
POL,Poland,2018,2377,589000000000.0
POL,Poland,2019,1786,596000000000.0
POL,Poland,2020,1282,599000000000.0
POL,Poland,2021,2,679000000000.0
POL,Poland,2022,1604,688000000000.0
PRT,Portugal,2017,1286,221000000000.0
PRT,Portugal,2018,3984,242000000000.0
PRT,Portugal,2019,6634,240000000000.0
PRT,Portugal,2020,3403,229000000000.0
PRT,Portugal,2021,158,254000000000.0
PRT,Portugal,2022,15451,252000000000.0
PRY,Paraguay,2017,948,38997129809.0
PRY,Paraguay,2018,932,40225448651.0
PRY,Paraguay,2019,1498,37925338460.0
PRY,Paraguay,2020,97,35432177936.0
PRY,Paraguay,2021,63,39950899733.0
PRY,Paraguay,2022,1232,41722295362.0
QAT,Qatar,2017,7548,161000000000.0
QAT,Qatar,2018,11450,183000000000.0
QAT,Qatar,2019,8365,176000000000.0
QAT,Qatar,2020,3749,144000000000.0
QAT,Qatar,2021,754,180000000000.0
QAT,Qatar,2022,6315,237000000000.0
ROU,Romania,2017,475,210000000000.0
ROU,Romania,2018,1369,243000000000.0
ROU,Romania,2019,1801,251000000000.0
ROU,Romania,2020,1424,251000000000.0
ROU,Romania,2021,9,285000000000.0
ROU,Romania,2022,1381,301000000000.0
RUS,Russian Federation,2017,14635,1570000000000.0
RUS,Russian Federation,2018,15314,1660000000000.0
RUS,Russian Federation,2019,19340,1690000000000.0
RUS,Russian Federation,2020,16393,1490000000000.0
RUS,Russian Federation,2021,6112,1840000000000.0
RUS,Russian Federation,2022,14531,2240000000000.0
RWA,Rwanda,2017,10,9252833678.0
RWA,Rwanda,2018,25,9636510839.0
RWA,Rwanda,2019,50,10346675636.0
SAU,Saudi Arabia,2017,700,715000000000.0
SAU,Saudi Arabia,2018,1177,847000000000.0
SAU,Saudi Arabia,2019,2459,839000000000.0
SAU,Saudi Arabia,2020,528,734000000000.0
SAU,Saudi Arabia,2021,235,869000000000.0
SAU,Saudi Arabia,2022,1372,1110000000000.0
SEN,Senegal,2017,820,20996562959.0
SEN,Senegal,2018,480,23116701540.0
SEN,Senegal,2019,483,23403995985.0
SEN,Senegal,2020,366,24530513059.0
SEN,Senegal,2021,334,27569136728.0
SEN,Senegal,2022,497,27684430244.0
SGP,Singapore,2017,998,343000000000.0
SGP,Singapore,2018,1106,377000000000.0
SGP,Singapore,2019,1154,377000000000.0
SGP,Singapore,2020,376,348000000000.0
SGP,Singapore,2021,1,424000000000.0
SGP,Singapore,2022,909,467000000000.0
SLE,Sierra Leone,2017,17,3719443318.0
SLE,Sierra Leone,2018,10,4085114542.0
SLE,Sierra Leone,2019,22,4076578654.0
SLE,Sierra Leone,2020,1,4062906364.0
SLE,Sierra Leone,2021,8,4249234574.0
SLE,Sierra Leone,2022,0,3970343852.0
SLV,El Salvador,2017,288,24979190000.0
SLV,El Salvador,2018,196,26020850000.0
SLV,El Salvador,2019,244,26881140000.0
SLV,El Salvador,2020,7,24930080000.0
SLV,El Salvador,2021,0,29451240000.0
SLV,El Salvador,2022,128,32488720000.0
SRB,Serbia,2017,150,44179075779.0
SRB,Serbia,2018,831,50640662859.0
SRB,Serbia,2019,1876,51514242776.0
SRB,Serbia,2020,1242,53356484764.0
SRB,Serbia,2021,14,63082021206.0
SRB,Serbia,2022,607,63501748652.0
SUR,Suriname,2017,12,3591679371.0
SUR,Suriname,2018,22,3996198760.0
SUR,Suriname,2019,173,4016040575.0
SUR,Suriname,2020,11,2911807496.0
SUR,Suriname,2021,0,2984706244.0
SUR,Suriname,2022,8,3620655116.0
SVN,Slovenia,2017,3906,48589100043.0
SVN,Slovenia,2018,3020,54177882426.0
SVN,Slovenia,2019,3576,54331588482.0
SVN,Slovenia,2020,3141,53706800044.0
SVN,Slovenia,2021,14,61748586535.0
SVN,Slovenia,2022,2705,62117768015.0
SWE,Sweden,2017,11242,541000000000.0
SWE,Sweden,2018,21407,555000000000.0
SWE,Sweden,2019,13823,534000000000.0
SWE,Sweden,2020,7232,547000000000.0
SWE,Sweden,2021,8943,637000000000.0
SWE,Sweden,2022,14313,586000000000.0
SYC,Seychelles,2019,9,1645090567.0
SYC,Seychelles,2020,7,1183515398.0
SYR,Syrian Arab Republic,2017,0,16369724433.0
SYR,Syrian Arab Republic,2018,2,21496337968.0
SYR,Syrian Arab Republic,2019,3,22600896352.0
SYR,Syrian Arab Republic,2020,9,11159274040.0
TCA,Turks and Caicos Islands,2018,0,1113178000.0
TCA,Turks and Caicos Islands,2019,12,1197415000.0
TCA,Turks and Caicos Islands,2020,8,924583000.0
TCA,Turks and Caicos Islands,2021,0,1044778790.0
TCA,Turks and Caicos Islands,2022,0,1138808881.0
TCD,Chad,2018,26,11239167890.0
TCD,Chad,2019,13,11314951088.0
TCD,Chad,2020,3,10715396051.0
TCD,Chad,2021,3,11779981332.0
TCD,Chad,2022,1,12704149842.0
TGO,Togo,2017,233,6395472028.0
TGO,Togo,2018,254,7029217932.0
TGO,Togo,2019,501,6992656429.0
TGO,Togo,2020,91,7389329393.0
TGO,Togo,2021,300,8334047486.0
TGO,Togo,2022,336,8126439481.0
THA,Thailand,2017,1288,456000000000.0
THA,Thailand,2018,784,507000000000.0
THA,Thailand,2019,1568,544000000000.0
THA,Thailand,2020,297,500000000000.0
THA,Thailand,2021,23,506000000000.0
THA,Thailand,2022,575,495000000000.0
TJK,Tajikistan,2017,18,7536403147.0
TJK,Tajikistan,2018,46,7765000282.0
TJK,Tajikistan,2019,30,8300813890.0
TJK,Tajikistan,2020,18,8133963813.0
TJK,Tajikistan,2021,21,8937805347.0
TJK,Tajikistan,2022,247,10492123388.0
TKM,Turkmenistan,2018,0,40765428571.0
TKM,Turkmenistan,2019,6,44220285714.0
TKM,Turkmenistan,2020,4,45610571429.0
TLS,Timor-Leste,2017,4,1595724300.0
TLS,Timor-Leste,2018,128,1563887900.0
TLS,Timor-Leste,2019,244,2028551600.0
TLS,Timor-Leste,2020,43,2158392500.0
TLS,Timor-Leste,2021,18,3621222400.0
TLS,Timor-Leste,2022,436,3163324631.0
TTO,Trinidad and Tobago,2017,17,23797686962.0
TTO,Trinidad and Tobago,2018,19,24322359037.0
TTO,Trinidad and Tobago,2019,270,23849557811.0
TTO,Trinidad and Tobago,2020,34,21059428846.0
TTO,Trinidad and Tobago,2021,0,24460196270.0
TTO,Trinidad and Tobago,2022,0,27899082337.0
TUN,Tunisia,2017,339,42163530591.0
TUN,Tunisia,2018,303,42686509836.0
TUN,Tunisia,2019,211,41905637659.0
TUN,Tunisia,2020,305,42538462678.0
TUN,Tunisia,2021,3,46687298709.0
TUN,Tunisia,2022,410,46664948952.0
UGA,Uganda,2017,404,30744473840.0
UGA,Uganda,2018,38,32927025621.0
UGA,Uganda,2019,179,35348155092.0
UGA,Uganda,2020,13,37605430214.0
UGA,Uganda,2021,103,40510241366.0
UGA,Uganda,2022,418,45559202049.0
UKR,Ukraine,2017,659,112000000000.0
UKR,Ukraine,2018,1075,131000000000.0
UKR,Ukraine,2019,682,154000000000.0
UKR,Ukraine,2020,1149,157000000000.0
UKR,Ukraine,2021,51,200000000000.0
UKR,Ukraine,2022,5359,161000000000.0
URY,Uruguay,2017,197,65006047680.0
URY,Uruguay,2018,124,65203071111.0
URY,Uruguay,2019,140,62048585619.0
URY,Uruguay,2020,11,53666908480.0
URY,Uruguay,2021,15,61412268249.0
URY,Uruguay,2022,205,71177146197.0
USA,United States of America,2017,214333,19500000000000.0
USA,United States of America,2018,267611,20500000000000.0
USA,United States of America,2019,268524,21400000000000.0
USA,United States of America,2020,229766,21100000000000.0
USA,United States of America,2021,39507,23300000000000.0
USA,United States of America,2022,470104,25500000000000.0
UZB,Uzbekistan,2017,8,62081322741.0
UZB,Uzbekistan,2018,16,52870108218.0
UZB,Uzbekistan,2019,22,60283503705.0
UZB,Uzbekistan,2020,9,60224701296.0
UZB,Uzbekistan,2021,46,69600614989.0
UZB,Uzbekistan,2022,62,80391853885.0
ZAF,South Africa,2017,1210,381000000000.0
ZAF,South Africa,2018,1160,404000000000.0
ZAF,South Africa,2019,1164,389000000000.0
ZAF,South Africa,2020,157,338000000000.0
ZAF,South Africa,2021,413,419000000000.0
ZAF,South Africa,2022,1171,406000000000.0
ZMB,Zambia,2017,154,25873601261.0
ZMB,Zambia,2018,391,26311506435.0
ZMB,Zambia,2019,426,23308667781.0
ZMB,Zambia,2020,30,18110638619.0
ZMB,Zambia,2021,275,22147649569.0
ZMB,Zambia,2022,347,29784454056.0
ZWE,Zimbabwe,2021,6,28371238666.0
ZWE,Zimbabwe,2022,45,20678055598.0
