Country Name,Country Code,Year,Population
Afghanistan,AFG,2017,35643418
Albania,ALB,2017,2873457
Algeria,DZA,2017,41136546
American Samoa,ASM,2017,49463
Andorra,AND,2017,73837
Angola,AGO,2017,30208628
Antigua and Barbuda,ATG,2017,91119
Argentina,ARG,2017,44044811
Armenia,ARM,2017,2851923
Aruba,ABW,2017,105439
Australia,AUS,2017,24594202
Austria,AUT,2017,8797566
Azerbaijan,AZE,2017,9854033
"Bahamas, The",BHS,2017,399020
Bahrain,BHR,2017,1456834
Bangladesh,BGD,2017,161793964
Barbados,BRB,2017,279187
Belarus,BLR,2017,9458989
Belgium,BEL,2017,11375158
Belize,BLZ,2017,374693
Benin,BEN,2017,11596779
Bermuda,BMU,2017,63873
Bhutan,BTN,2017,756121
Bolivia,BOL,2017,11435533
Bosnia and Herzegovina,BIH,2017,3440027
Botswana,BWA,2017,2401840
Brazil,BRA,2017,208504960
British Virgin Islands,VGB,2017,30060
Brunei Darussalam,BRN,2017,430276
Bulgaria,BGR,2017,7075947
Burkina Faso,BFA,2017,19835858
Burundi,BDI,2017,11155593
Cabo Verde,CPV,2017,564954
Cambodia,KHM,2017,15830689
Cameroon,CMR,2017,24393181
Canada,CAN,2017,36545236
Cayman Islands,CYM,2017,63581
Central African Republic,CAF,2017,4996741
Chad,TCD,2017,15085884
Channel Islands,CHI,2017,165215
Chile,CHL,2017,18368577
China,CHN,2017,1396215000
Colombia,COL,2017,48351671
Comoros,COM,2017,761664
"Congo, Dem. Rep.",COD,2017,84283273
"Congo, Rep.",COG,2017,5312340
Costa Rica,CRI,2017,4993842
Cote d'Ivoire,CIV,2017,24848016
Croatia,HRV,2017,4124531
Cuba,CUB,2017,11336405
Curacao,CUW,2017,160175
Cyprus,CYP,2017,1208523
Czechia,CZE,2017,10594438
Denmark,DNK,2017,5764980
Djibouti,DJI,2017,1040233
Dominica,DMA,2017,70403
Dominican Republic,DOM,2017,10647244
Ecuador,ECU,2017,16696944
"Egypt, Arab Rep.",EGY,2017,101789386
El Salvador,SLV,2017,6266654
Equatorial Guinea,GNQ,2017,1450694
Eritrea,ERI,2017,3396933
Estonia,EST,2017,1317384
Ethiopia,ETH,2017,108197950
Faroe Islands,FRO,2017,50230
Fiji,FJI,2017,919019
Finland,FIN,2017,5508214
France,FRA,2017,66918020
French Polynesia,PYF,2017,295450
Gabon,GAB,2017,2140215
"Gambia, The",GMB,2017,2381182
Georgia,GEO,2017,3728004
Germany,DEU,2017,82657002
Ghana,GHA,2017,30222262
Gibraltar,GIB,2017,32602
Greece,GRC,2017,10754679
Greenland,GRL,2017,56172
Grenada,GRD,2017,120921
Guam,GUM,2017,168606
Guatemala,GTM,2017,16087418
Guinea,GIN,2017,12240789
Guinea-Bissau,GNB,2017,1879826
Guyana,GUY,2017,763252
Haiti,HTI,2017,10863543
Honduras,HND,2017,9626842
"Hong Kong SAR, China",HKG,2017,7393200
Hungary,HUN,2017,9787966
Iceland,ISL,2017,343400
India,IND,2017,1354195680
Indonesia,IDN,2017,264498852
"Iran, Islamic Rep.",IRN,2017,84505076
Iraq,IRQ,2017,39621162
Ireland,IRL,2017,4807388
Isle of Man,IMN,2017,83580
Israel,ISR,2017,8713300
Italy,ITA,2017,60536709
Jamaica,JAM,2017,2808376
Japan,JPN,2017,126972000
Jordan,JOR,2017,10215381
Kazakhstan,KAZ,2017,18037776
Kenya,KEN,2017,48948137
Kiribati,KIR,2017,120362
"Korea, Dem. People's Rep.",PRK,2017,25516321
"Korea, Rep.",KOR,2017,51361911
Kosovo,XKX,2017,1791003
Kuwait,KWT,2017,4124904
Kyrgyz Republic,KGZ,2017,6198200
Lao PDR,LAO,2017,6997917
Latvia,LVA,2017,1942248
Lebanon,LBN,2017,6109252
Lesotho,LSO,2017,2170617
Liberia,LBR,2017,4796631
Libya,LBY,2017,6378261
Liechtenstein,LIE,2017,37889
Lithuania,LTU,2017,2828403
Luxembourg,LUX,2017,596336
"Macao SAR, China",MAC,2017,638609
North Macedonia,MKD,2017,2074502
Madagascar,MDG,2017,26169542
Malawi,MWI,2017,17881167
Malaysia,MYS,2017,31975806
Maldives,MDV,2017,472442
Mali,MLI,2017,19311355
Malta,MLT,2017,467999
Marshall Islands,MHL,2017,47187
Mauritania,MRT,2017,4160015
Mauritius,MUS,2017,1264887
Mexico,MEX,2017,122839258
"Micronesia, Fed. Sts.",FSM,2017,110430
Moldova,MDA,2017,2755189
Monaco,MCO,2017,37044
Mongolia,MNG,2017,3096030
Montenegro,MNE,2017,622373
Morocco,MAR,2017,35528115
Mozambique,MOZ,2017,28569441
Myanmar,MMR,2017,52288341
Namibia,NAM,2017,2364534
Nauru,NRU,2017,11682
Nepal,NPL,2017,28183426
Netherlands,NLD,2017,17131296
New Caledonia,NCL,2017,270810
New Zealand,NZL,2017,4813600
Nicaragua,NIC,2017,6480532
Niger,NER,2017,21737922
Nigeria,NGA,2017,193495907
Northern Mariana Islands,MNP,2017,50729
Norway,NOR,2017,5276968
Oman,OMN,2017,4541854
Pakistan,PAK,2017,216379655
Palau,PLW,2017,17837
Panama,PAN,2017,4096063
Papua New Guinea,PNG,2017,9114796
Paraguay,PRY,2017,6355404
Peru,PER,2017,31605486
Philippines,PHL,2017,106738501
Poland,POL,2017,37974826
Portugal,PRT,2017,10300300
Puerto Rico,PRI,2017,3325286
Qatar,QAT,2017,2711755
Romania,ROU,2017,19588715
Russian Federation,RUS,2017,144496739
Rwanda,RWA,2017,12230339
Samoa,WSM,2017,207630
San Marino,SMR,2017,34056
Sao Tome and Principe,STP,2017,208036
Saudi Arabia,SAU,2017,34193122
Senegal,SEN,2017,15157793
Serbia,SRB,2017,7020858
Seychelles,SYC,2017,95843
Sierra Leone,SLE,2017,7677565
Singapore,SGP,2017,5612253
Sint Maarten (Dutch part),SXM,2017,40574
Slovak Republic,SVK,2017,5439232
Slovenia,SVN,2017,2066388
Solomon Islands,SLB,2017,643634
Somalia,SOM,2017,14864221
South Africa,ZAF,2017,56641209
South Sudan,SSD,2017,10658226
Spain,ESP,2017,46593236
Sri Lanka,LKA,2017,21506813
St. Kitts and Nevis,KNA,2017,47785
St. Lucia,LCA,2017,177163
St. Martin (French part),MAF,2017,34496
St. Vincent and the Grenadines,VCT,2017,105549
Sudan,SDN,2017,40679828
Suriname,SUR,2017,587559
Eswatini,SWZ,2017,1151390
Sweden,SWE,2017,10057698
Switzerland,CHE,2017,8451840
Syrian Arab Republic,SYR,2017,18983373
Tajikistan,TJK,2017,8925525
Tanzania,TZA,2017,56267032
Thailand,THA,2017,70898202
Timor-Leste,TLS,2017,1243235
Togo,TGO,2017,7852795
Tonga,TON,2017,105415
Trinidad and Tobago,TTO,2017,1478607
Tunisia,TUN,2017,11811443
Turkiye,TUR,2017,82089826
Turkmenistan,TKM,2017,5968383
Turks and Caicos Islands,TCA,2017,39844
Tuvalu,TUV,2017,10828
Uganda,UGA,2017,40127085
Ukraine,UKR,2017,44831135
United Arab Emirates,ARE,2017,9068296
United Kingdom,GBR,2017,66058859
United States of America,USA,2017,325122128
Uruguay,URY,2017,3422200
Uzbekistan,UZB,2017,32388600
Vanuatu,VUT,2017,290239
"Venezuela, RB",VEN,2017,30563433
Vietnam,VNM,2017,94033048
Virgin Islands (U.S.),VIR,2017,107281
West Bank and Gaza,PSE,2017,4454805
"Yemen, Rep.",YEM,2017,30034389
Zambia,ZMB,2017,17298054
Zimbabwe,ZWE,2017,14751101
Afghanistan,AFG,2018,36686784
Albania,ALB,2018,2866376
Algeria,DZA,2018,41927007
American Samoa,ASM,2018,48424
Andorra,AND,2018,75013
Angola,AGO,2018,31273533
Antigua and Barbuda,ATG,2018,91626
Argentina,ARG,2018,44494502
Armenia,ARM,2018,2836557
Aruba,ABW,2018,105962
Australia,AUS,2018,24966643
Austria,AUT,2018,8840521
Azerbaijan,AZE,2018,9939771
"Bahamas, The",BHS,2018,401906
Bahrain,BHR,2018,1487340
Bangladesh,BGD,2018,163683958
Barbados,BRB,2018,279688
Belarus,BLR,2018,9438785
Belgium,BEL,2018,11427054
Belize,BLZ,2018,382066
Benin,BEN,2018,11940683
Bermuda,BMU,2018,63918
Bhutan,BTN,2018,762096
Bolivia,BOL,2018,11606905
Bosnia and Herzegovina,BIH,2018,3400129
Botswana,BWA,2018,2451409
Brazil,BRA,2018,210166592
British Virgin Islands,VGB,2018,30335
Brunei Darussalam,BRN,2018,434274
Bulgaria,BGR,2018,7025037
Burkina Faso,BFA,2018,20392723
Burundi,BDI,2018,11493472
Cabo Verde,CPV,2018,571202
Cambodia,KHM,2018,16025238
Cameroon,CMR,2018,25076747
Canada,CAN,2018,37065084
Cayman Islands,CYM,2018,64884
Central African Republic,CAF,2018,5094780
Chad,TCD,2018,15604210
Channel Islands,CHI,2018,167259
Chile,CHL,2018,18701450
China,CHN,2018,1402760000
Colombia,COL,2018,49276961
Comoros,COM,2018,776313
"Congo, Dem. Rep.",COD,2018,87087355
"Congo, Rep.",COG,2018,5441062
Costa Rica,CRI,2018,5040734
Cote d'Ivoire,CIV,2018,25493988
Croatia,HRV,2018,4087843
Cuba,CUB,2018,11328244
Curacao,CUW,2018,159336
Cyprus,CYP,2018,1218831
Czechia,CZE,2018,10629928
Denmark,DNK,2018,5793636
Djibouti,DJI,2018,1057198
Dominica,DMA,2018,70823
Dominican Republic,DOM,2018,10765531
Ecuador,ECU,2018,17015672
"Egypt, Arab Rep.",EGY,2018,103740765
El Salvador,SLV,2018,6276342
Equatorial Guinea,GNQ,2018,1502091
Eritrea,ERI,2018,3445374
Estonia,EST,2018,1321977
Ethiopia,ETH,2018,111129438
Faroe Islands,FRO,2018,50955
Fiji,FJI,2018,918996
Finland,FIN,2018,5515525
France,FRA,2018,67158348
French Polynesia,PYF,2018,297606
Gabon,GAB,2018,2192012
"Gambia, The",GMB,2018,2444916
Georgia,GEO,2018,3726549
Germany,DEU,2018,82905782
Ghana,GHA,2018,30870641
Gibraltar,GIB,2018,32648
Greece,GRC,2018,10732882
Greenland,GRL,2018,56023
Grenada,GRD,2018,121838
Guam,GUM,2018,168678
Guatemala,GTM,2018,16346950
Guinea,GIN,2018,12554864
Guinea-Bissau,GNB,2018,1924955
Guyana,GUY,2018,785514
Haiti,HTI,2018,11012421
Honduras,HND,2018,9792850
"Hong Kong SAR, China",HKG,2018,7452600
Hungary,HUN,2018,9775564
Iceland,ISL,2018,352721
India,IND,2018,1369003306
Indonesia,IDN,2018,267066843
"Iran, Islamic Rep.",IRN,2018,85617562
Iraq,IRQ,2018,40590700
Ireland,IRL,2018,4867316
Isle of Man,IMN,2018,83775
Israel,ISR,2018,8882800
Italy,ITA,2018,60421760
Jamaica,JAM,2018,2811835
Japan,JPN,2018,126811000
Jordan,JOR,2018,10459865
Kazakhstan,KAZ,2018,18276452
Kenya,KEN,2018,49953304
Kiribati,KIR,2018,122261
"Korea, Dem. People's Rep.",PRK,2018,25638149
"Korea, Rep.",KOR,2018,51585058
Kosovo,XKX,2018,1797085
Kuwait,KWT,2018,4317185
Kyrgyz Republic,KGZ,2018,6322800
Lao PDR,LAO,2018,7105006
Latvia,LVA,2018,1927174
Lebanon,LBN,2018,5950839
Lesotho,LSO,2018,2198017
Liberia,LBR,2018,4889391
Libya,LBY,2018,6477793
Liechtenstein,LIE,2018,38181
Lithuania,LTU,2018,2801543
Luxembourg,LUX,2018,607950
"Macao SAR, China",MAC,2018,650991
North Macedonia,MKD,2018,2076217
Madagascar,MDG,2018,26846541
Malawi,MWI,2018,18367883
Malaysia,MYS,2018,32399271
Maldives,MDV,2018,489758
Mali,MLI,2018,19934298
Malta,MLT,2018,484630
Marshall Islands,MHL,2018,45989
Mauritania,MRT,2018,4270712
Mauritius,MUS,2018,1265577
Mexico,MEX,2018,124013861
"Micronesia, Fed. Sts.",FSM,2018,110929
Moldova,MDA,2018,2707203
Monaco,MCO,2018,37029
Mongolia,MNG,2018,3163991
Montenegro,MNE,2018,622227
Morocco,MAR,2018,35927511
Mozambique,MOZ,2018,29423878
Myanmar,MMR,2018,52666014
Namibia,NAM,2018,2405680
Nauru,NRU,2018,11924
Nepal,NPL,2018,28506712
Netherlands,NLD,2018,17231624
New Caledonia,NCL,2018,271170
New Zealand,NZL,2018,4900600
Nicaragua,NIC,2018,6572233
Niger,NER,2018,22577058
Nigeria,NGA,2018,198387623
Northern Mariana Islands,MNP,2018,50304
Norway,NOR,2018,5311916
Oman,OMN,2018,4601157
Pakistan,PAK,2018,219731479
Palau,PLW,2018,17864
Panama,PAN,2018,4165255
Papua New Guinea,PNG,2018,9329227
Paraguay,PRY,2018,6443328
Peru,PER,2018,32203944
Philippines,PHL,2018,108568836
Poland,POL,2018,37974750
Portugal,PRT,2018,10283822
Puerto Rico,PRI,2018,3193354
Qatar,QAT,2018,2766732
Romania,ROU,2018,19473970
Russian Federation,RUS,2018,144477859
Rwanda,RWA,2018,12531808
Samoa,WSM,2018,209701
San Marino,SMR,2018,34156
Sao Tome and Principe,STP,2018,211344
Saudi Arabia,SAU,2018,35018133
Senegal,SEN,2018,15574909
Serbia,SRB,2018,6982604
Seychelles,SYC,2018,96762
Sierra Leone,SLE,2018,7861281
Singapore,SGP,2018,5638676
Sint Maarten (Dutch part),SXM,2018,40895
Slovak Republic,SVK,2018,5446771
Slovenia,SVN,2018,2073894
Solomon Islands,SLB,2018,659249
Somalia,SOM,2018,15411094
South Africa,ZAF,2018,57339635
South Sudan,SSD,2018,10395329
Spain,ESP,2018,46797754
Sri Lanka,LKA,2018,21670000
St. Kitts and Nevis,KNA,2018,47761
St. Lucia,LCA,2018,177888
St. Martin (French part),MAF,2018,33852
St. Vincent and the Grenadines,VCT,2018,105281
Sudan,SDN,2018,41999059
Suriname,SUR,2018,593715
Eswatini,SWZ,2018,1160428
Sweden,SWE,2018,10175214
Switzerland,CHE,2018,8514329
Syrian Arab Republic,SYR,2018,19333463
Tajikistan,TJK,2018,9128132
Tanzania,TZA,2018,58090443
Thailand,THA,2018,71127802
Timor-Leste,TLS,2018,1261845
Togo,TGO,2018,8046679
Tonga,TON,2018,105150
Trinidad and Tobago,TTO,2018,1504709
Tunisia,TUN,2018,11933041
Turkiye,TUR,2018,82809304
Turkmenistan,TKM,2018,6065066
Turks and Caicos Islands,TCA,2018,41487
Tuvalu,TUV,2018,10865
Uganda,UGA,2018,41515395
Ukraine,UKR,2018,44622518
United Arab Emirates,ARE,2018,9140169
United Kingdom,GBR,2018,66460344
United States of America,USA,2018,326838199
Uruguay,URY,2018,3427042
Uzbekistan,UZB,2018,32956100
Vanuatu,VUT,2018,297298
"Venezuela, RB",VEN,2018,29825653
Vietnam,VNM,2018,94914330
Virgin Islands (U.S.),VIR,2018,107001
West Bank and Gaza,PSE,2018,4569087
"Yemen, Rep.",YEM,2018,30790513
Zambia,ZMB,2018,17835893
Zimbabwe,ZWE,2018,15052184
Afghanistan,AFG,2019,37769499
Albania,ALB,2019,2854191
Algeria,DZA,2019,42705368
American Samoa,ASM,2019,47321
Andorra,AND,2019,76343
Angola,AGO,2019,32353588
Antigua and Barbuda,ATG,2019,92117
Argentina,ARG,2019,44938712
Armenia,ARM,2019,2820602
Aruba,ABW,2019,106442
Australia,AUS,2019,25340217
Austria,AUT,2019,8879920
Azerbaijan,AZE,2019,10024283
"Bahamas, The",BHS,2019,404557
Bahrain,BHR,2019,1494188
Bangladesh,BGD,2019,165516222
Barbados,BRB,2019,280180
Belarus,BLR,2019,9419758
Belgium,BEL,2019,11488980
Belize,BLZ,2019,389095
Benin,BEN,2019,12290444
Bermuda,BMU,2019,63911
Bhutan,BTN,2019,767459
Bolivia,BOL,2019,11777315
Bosnia and Herzegovina,BIH,2019,3360711
Botswana,BWA,2019,2499702
Brazil,BRA,2019,211782878
British Virgin Islands,VGB,2019,30610
Brunei Darussalam,BRN,2019,438048
Bulgaria,BGR,2019,6975761
Burkina Faso,BFA,2019,20951639
Burundi,BDI,2019,11874838
Cabo Verde,CPV,2019,577030
Cambodia,KHM,2019,16207746
Cameroon,CMR,2019,25782341
Canada,CAN,2019,37601230
Cayman Islands,CYM,2019,66134
Central African Republic,CAF,2019,5209324
Chad,TCD,2019,16126866
Channel Islands,CHI,2019,169410
Chile,CHL,2019,19039485
China,CHN,2019,1407745000
Colombia,COL,2019,50187406
Comoros,COM,2019,790986
"Congo, Dem. Rep.",COD,2019,89906890
"Congo, Rep.",COG,2019,5570733
Costa Rica,CRI,2019,5084532
Cote d'Ivoire,CIV,2019,26147551
Croatia,HRV,2019,4065253
Cuba,CUB,2019,11316697
Curacao,CUW,2019,157441
Cyprus,CYP,2019,1228836
Czechia,CZE,2019,10671870
Denmark,DNK,2019,5814422
Djibouti,DJI,2019,1073994
Dominica,DMA,2019,71428
Dominican Republic,DOM,2019,10881882
Ecuador,ECU,2019,17343740
"Egypt, Arab Rep.",EGY,2019,105618671
El Salvador,SLV,2019,6280217
Equatorial Guinea,GNQ,2019,1553031
Eritrea,ERI,2019,3498818
Estonia,EST,2019,1326898
Ethiopia,ETH,2019,114120594
Faroe Islands,FRO,2019,51681
Fiji,FJI,2019,918465
Finland,FIN,2019,5521606
France,FRA,2019,67388001
French Polynesia,PYF,2019,299717
Gabon,GAB,2019,2242785
"Gambia, The",GMB,2019,2508883
Georgia,GEO,2019,3720161
Germany,DEU,2019,83092962
Ghana,GHA,2019,31522290
Gibraltar,GIB,2019,32685
Greece,GRC,2019,10721582
Greenland,GRL,2019,56225
Grenada,GRD,2019,122724
Guam,GUM,2019,168624
Guatemala,GTM,2019,16604026
Guinea,GIN,2019,12877539
Guinea-Bissau,GNB,2019,1970457
Guyana,GUY,2019,798753
Haiti,HTI,2019,11160438
Honduras,HND,2019,9958829
"Hong Kong SAR, China",HKG,2019,7507900
Hungary,HUN,2019,9771141
Iceland,ISL,2019,360563
India,IND,2019,1383112050
Indonesia,IDN,2019,269582878
"Iran, Islamic Rep.",IRN,2019,86564202
Iraq,IRQ,2019,41563520
Ireland,IRL,2019,4934340
Isle of Man,IMN,2019,83933
Israel,ISR,2019,9054000
Italy,ITA,2019,59729081
Jamaica,JAM,2019,2813773
Japan,JPN,2019,126633000
Jordan,JOR,2019,10698683
Kazakhstan,KAZ,2019,18513673
Kenya,KEN,2019,50951450
Kiribati,KIR,2019,124241
"Korea, Dem. People's Rep.",PRK,2019,25755441
"Korea, Rep.",KOR,2019,51764822
Kosovo,XKX,2019,1788878
Kuwait,KWT,2019,4441100
Kyrgyz Republic,KGZ,2019,6456200
Lao PDR,LAO,2019,7212053
Latvia,LVA,2019,1913822
Lebanon,LBN,2019,5781907
Lesotho,LSO,2019,2225702
Liberia,LBR,2019,4985289
Libya,LBY,2019,6569088
Liechtenstein,LIE,2019,38482
Lithuania,LTU,2019,2794137
Luxembourg,LUX,2019,620001
"Macao SAR, China",MAC,2019,663653
North Macedonia,MKD,2019,2076694
Madagascar,MDG,2019,27533134
Malawi,MWI,2019,18867337
Malaysia,MYS,2019,32804020
Maldives,MDV,2019,504508
Mali,MLI,2019,20567424
Malta,MLT,2019,504062
Marshall Islands,MHL,2019,44728
Mauritania,MRT,2019,4383849
Mauritius,MUS,2019,1265985
Mexico,MEX,2019,125085311
"Micronesia, Fed. Sts.",FSM,2019,111379
Moldova,MDA,2019,2664224
Monaco,MCO,2019,37034
Mongolia,MNG,2019,3232430
Montenegro,MNE,2019,622028
Morocco,MAR,2019,36304408
Mozambique,MOZ,2019,30285595
Myanmar,MMR,2019,53040212
Namibia,NAM,2019,2446644
Nauru,NRU,2019,12132
Nepal,NPL,2019,28832496
Netherlands,NLD,2019,17344874
New Caledonia,NCL,2019,271240
New Zealand,NZL,2019,4979200
Nicaragua,NIC,2019,6663924
Niger,NER,2019,23443393
Nigeria,NGA,2019,203304492
Northern Mariana Islands,MNP,2019,49858
Norway,NOR,2019,5347896
Oman,OMN,2019,4602768
Pakistan,PAK,2019,223293280
Palau,PLW,2019,17916
Panama,PAN,2019,4232532
Papua New Guinea,PNG,2019,9542486
Paraguay,PRY,2019,6530026
Peru,PER,2019,32824861
Philippines,PHL,2019,110380804
Poland,POL,2019,37965475
Portugal,PRT,2019,10286263
Puerto Rico,PRI,2019,3193694
Qatar,QAT,2019,2807235
Romania,ROU,2019,19371648
Russian Federation,RUS,2019,144406261
Rwanda,RWA,2019,12835028
Samoa,WSM,2019,211905
San Marino,SMR,2019,34178
Sao Tome and Principe,STP,2019,214599
Saudi Arabia,SAU,2019,35827362
Senegal,SEN,2019,16000781
Serbia,SRB,2019,6945235
Seychelles,SYC,2019,97625
Sierra Leone,SLE,2019,8046828
Singapore,SGP,2019,5703569
Sint Maarten (Dutch part),SXM,2019,41608
Slovak Republic,SVK,2019,5454147
Slovenia,SVN,2019,2088385
Solomon Islands,SLB,2019,674993
Somalia,SOM,2019,15981300
South Africa,ZAF,2019,58087055
South Sudan,SSD,2019,10447666
Spain,ESP,2019,47134837
Sri Lanka,LKA,2019,21803000
St. Kitts and Nevis,KNA,2019,47712
St. Lucia,LCA,2019,178583
St. Martin (French part),MAF,2019,33121
St. Vincent and the Grenadines,VCT,2019,104924
Sudan,SDN,2019,43232093
Suriname,SUR,2019,600301
Eswatini,SWZ,2019,1169613
Sweden,SWE,2019,10278887
Switzerland,CHE,2019,8575280
Syrian Arab Republic,SYR,2019,20098251
Tajikistan,TJK,2019,9337003
Tanzania,TZA,2019,59872579
Thailand,THA,2019,71307763
Timor-Leste,TLS,2019,1280438
Togo,TGO,2019,8243094
Tonga,TON,2019,104951
Trinidad and Tobago,TTO,2019,1519955
Tunisia,TUN,2019,12049314
Turkiye,TUR,2019,83481684
Turkmenistan,TKM,2019,6158420
Turks and Caicos Islands,TCA,2019,43080
Tuvalu,TUV,2019,10956
Uganda,UGA,2019,42949080
Ukraine,UKR,2019,44386203
United Arab Emirates,ARE,2019,9211657
United Kingdom,GBR,2019,66836327
United States of America,USA,2019,328329953
Uruguay,URY,2019,3428409
Uzbekistan,UZB,2019,33580350
Vanuatu,VUT,2019,304404
"Venezuela, RB",VEN,2019,28971683
Vietnam,VNM,2019,95776716
Virgin Islands (U.S.),VIR,2019,106669
West Bank and Gaza,PSE,2019,4685306
"Yemen, Rep.",YEM,2019,31546691
Zambia,ZMB,2019,18380477
